timestamp,yaw,pitch,roll,raw accel x,raw accel y,raw accel z,raw gyro x,raw gyro y,raw gyro z,filtered accel x,filtered accel y,filtered accel z,filtered gyro x,filtered gyro y,filtered gyro z,angle out yaw,angle out pitch,angle out roll,rate out yaw,rate out pitch,rate out roll,motor 1,motor 2 ,motor 3,motor 4,mag heading,throttle,voltage
24235695,21.15,1.29,-1.25,0.01,-0.02,1,0.02,-0.1,0.02,0,-0.02,1,-0.01,-0.04,-0.04,0,-0.68,0.67,-0.05,-2.54,2.52,1020.05,1000,1000,1000,26.1,0,3.72
24272526,21.21,1.29,-1.25,0.01,-0.02,1,0.08,0.02,0.02,0,-0.02,1,-0.01,-0.04,-0.04,0,-0.68,0.67,-0.05,-2.53,2.52,1020.04,1000,1000,1000,28.56,0,3.74
24275845,21.21,1.28,-1.25,0.01,-0.02,1,0.02,-0.04,-0.04,0,-0.02,1,-0.01,-0.04,-0.04,0,-0.68,0.67,-0.05,-2.53,2.52,1020.04,1000,1000,1000,28.56,0,3.73
24327085,21.22,1.28,-1.25,0.01,-0.02,1,0.08,-0.04,-0.04,0,-0.02,1,-0.01,-0.04,-0.04,0,-0.68,0.67,-0.05,-2.53,2.52,1020.03,1000,1000,1000,25.48,0,3.74
24332101,21.27,1.27,-1.25,0.01,-0.02,1,0.08,-0.1,-0.04,0,-0.02,1,-0.01,-0.04,-0.04,0,-0.68,0.67,-0.05,-2.53,2.52,1020.02,1000,1000,1000,26.92,0,3.74
24335279,21.27,1.27,-1.25,0.01,-0.02,0.99,-0.04,-0.04,0.02,0,-0.02,1,-0.01,-0.04,-0.04,0,-0.68,0.67,-0.05,-2.53,2.52,1020.02,1000,1000,1000,26.92,0,3.72
24338806,21.27,1.27,-1.25,0.01,-0.02,1,0.02,-0.04,0.02,0,-0.02,1,-0.01,-0.04,-0.04,0,-0.68,0.67,-0.05,-2.53,2.52,1020.02,1000,1000,1000,24.78,0,3.73
24340041,21.27,1.27,-1.25,0.01,-0.02,1,0.02,-0.04,-0.04,0,-0.02,1,-0.01,-0.04,-0.04,0,-0.68,0.67,-0.05,-2.53,2.52,1020.01,1000,1000,1000,24.78,0,3.73
24341069,21.27,1.27,-1.25,0.01,-0.02,1,0.02,-0.04,-0.04,0,-0.02,1,-0.01,-0.04,-0.04,0,-0.68,0.67,-0.05,-2.53,2.52,1020.01,1000,1000,1000,24.78,0,3.73
24344635,21.28,1.27,-1.25,0.01,-0.02,1,0.02,-0.04,0.02,0,-0.02,1,-0.01,-0.04,-0.04,0,-0.68,0.67,-0.05,-2.53,2.52,1020.01,1000,1000,1000,26.11,0,3.73
24345966,21.28,1.27,-1.25,0.01,-0.02,1,-0.04,-0.04,-0.04,0,-0.02,1,-0.01,-0.04,-0.04,0,-0.68,0.67,-0.05,-2.53,2.52,1020.01,1000,1000,1000,26.11,0,3.73
24347005,21.28,1.27,-1.25,0.01,-0.02,1,-0.04,-0.04,-0.04,0,-0.02,1,-0.01,-0.04,-0.03,0,-0.68,0.67,-0.05,-2.53,2.52,1020.01,1000,1000,1000,26.11,0,3.72
24350516,21.28,1.27,-1.25,0.01,-0.02,1,-0.04,-0.04,0.02,0,-0.02,1,-0.01,-0.04,-0.03,0,-0.68,0.67,-0.05,-2.53,2.52,1020.01,1000,1000,1000,26.11,0,3.73
24351585,21.28,1.27,-1.25,0.01,-0.02,1,0.02,-0.04,-0.04,0,-0.02,1,-0.01,-0.04,-0.03,0,-0.68,0.67,-0.05,-2.53,2.52,1020.01,1000,1000,1000,26.11,0,3.75
24352862,21.29,1.27,-1.25,0.01,-0.02,1,0.08,0.02,-0.04,0,-0.02,1,-0.01,-0.04,-0.03,0,-0.68,0.67,-0.05,-2.53,2.52,1020.01,1000,1000,1000,26.11,0,3.73
24353885,21.29,1.27,-1.25,0.01,-0.02,1,0.08,-0.04,-0.04,0,-0.02,1,-0.01,-0.04,-0.03,0,-0.68,0.67,-0.05,-2.53,2.52,1020,1000,1000,1000,26.11,0,3.73
24357340,21.29,1.26,-1.25,0.01,-0.02,1,0.08,-0.04,-0.04,0,-0.02,1,-0.01,-0.04,-0.03,0,-0.68,0.67,-0.05,-2.52,2.52,1020,1000,1000,1000,27.15,0,3.76
24358397,21.29,1.26,-1.25,0.01,-0.02,1,0.08,-0.1,-0.04,0,-0.02,1,-0.01,-0.04,-0.03,0,-0.68,0.67,-0.05,-2.52,2.52,1020,1000,1000,1000,27.15,0,3.73
